name, genderId, birthYear, deathYear, nationalityId
Edsger W. Dijkstra,1,1930,2002,155
Steve Jobs,1,1955,2011,230
Bill Gates,1,1955,0,230
Ada Lovelace,2,1815,1852,229
Charles Babbage,1,1791,1871,229
Linus Torvalds,1,1969,0,71
Grace Hopper,2,1906,1992,230
Alan Turing,1,1912,1954,229
Mark Zukerberg,1,1984,0,230
Bjarne Stroustrup,1,1950,0,56
Gabe Newell,1,1962,0,230
Richard Stallman,1,1953,0,230
John Carmack,1,1970,0,230
Yukihiro Matsumoto,1,1965,0,110
Blaise Pascal,1,1623,1662,72
Wilhelm Schickard,1,1592,1635,80
Steve Wozniak,1,1950,0,230
Charles Xavier Thomas,1,1785,1870,72
Paul Gardner Allen,1,1953,0,230
John Mauchly,1,1907,1980,230
J. Presper Eckert,1,1919,1995,230
John Vincent Atanasoff,1,1903,1995,230
Clifford Berry,1,1918,1963,230
Robert A. Henle,1,1924,1989,230
