Edsger W. Dijkstra,M,1930,2002,Netherlands,
Steve Jobs,M,1955,2011,UnitedStates,
Bill Gates,M,1955,0,UnitedStates,
Ada Lovelace,F,1815,1852,England,
Charles Babbage,M,1791,1871,England,
Linus Torvalds,M,1969,0,Finland,
Grace Hopper,F,1906,1992,UnitedStates,
Alan Turing,M,1912,1954,England,
Mark Zukerberg,M,1984,0,UnitedStates,
Bjarne Stroustrup,M,1950,0,Denmark,
Gabe Newell,M,1962,0,UnitedStates,
Richard Stallman,M,1953,0,UnitedStates,
John Carmack,M,1970,0,UnitedStates,
Yukihiro Matsumoto,M,1965,0,Japan,
Blaise Pascal,M,1623,1662,France,
Wilhelm Schickard,M,1592,1635,German,
Steve Wozniak,M,1950,0,UnitedStates,
Charles Xavier Thomas,M,1785,1870,France,
Paul Gardner Allen,M,1953,0,UnitedStates,
John Mauchly,M,1907,1980,UnitedStates,
J. Presper Eckert,M,1919,1995,UnitedStates,
John Vincent Atanasoff,M,1903,1995,UnitedStates,
Clifford Berry,M,1918,1963,UnitedStates,
Robert A. Henle,M,1924,1989,UnitedStates
